church_id,official_name,parish_name,parish_family_name,location_type,active_status,street_address,city,state,zip_code,latitude,longitude,phone,official_website,travel_zone,county,accessibility_notes,entrance_notes,primary_source_id,last_verified_date,research_status,notes
ec395625-802c-4ac9-a95f-cb4e3dc551ef,"Holy Trinity Church","Holy Family Parish","Holy Family",church,active,"140 N 6th St",Batavia,OH,45103,,,"(513) 732-2218",https://holyfamilyparishrcc.org/,clermont_county,Clermont,,,SRC-PARISH-20260807-001,2026-08-07,candidate,"Physical church retained after the four former parishes merged into Holy Family Parish."
5ea276c0-8e93-4f4b-8d04-b7205d45aaeb,"Saint Philomena Church","Holy Family Parish","Holy Family",church,active,"5236 Stonelick Williams Corner Rd",Batavia,OH,45103,,,"(513) 732-2218",https://holyfamilyparishrcc.org/st-philomena/,clermont_county,Clermont,,,SRC-PARISH-20260807-002,2026-08-07,candidate,"Current church page supersedes the Archdiocese dataset's 1880 Balzhiser Rd address; conflict remains documented."
bda98b0a-6751-49c8-afc0-8557790250a5,"St. Bernadette Church","St. Bernadette Parish","Stella Maris",church,active,"1479 Locust Lake Rd",Amelia,OH,45102,,,"(513) 753-5566",https://stellamarisfamily.org/contact-us/,clermont_county,Clermont,,,SRC-PARISH-20260807-003,2026-08-07,needs_resolution,"Pierce Township coverage relationship remains unverified."
f015344f-0f66-4512-8253-472bdafaf65a,"St. Veronica Church","St. Veronica Parish","St. Mary Magdalene Family of Parishes",church,active,"4473 Mt. Carmel-Tobasco Rd",Cincinnati,OH,45244,,,"(513) 528-1622",https://saintmarymagdalene.org/,clermont_county,Clermont,,,SRC-PARISH-20260807-004,2026-08-07,needs_resolution,"Clermont County location is corroborated; Eastgate/Union Township coverage remains unverified."
ea5697b7-593a-454a-85e6-93a4d0fa1219,"St. Thomas More Church","St. Thomas More Parish","Stella Maris",church,active,"800 Ohio Pike",Cincinnati,OH,45245,,,"(513) 752-2080",https://stellamarisfamily.org/contact-us/,clermont_county,Clermont,,,SRC-PARISH-20260807-005,2026-08-07,candidate,"Current family contact page confirms the physical destination."
2968c9da-9352-4ca6-972d-02341a9e8181,"St. Andrew Church","St. Andrew Parish","St. Mary Magdalene Family of Parishes",church,active,"551 Main St",Milford,OH,45150,,,"(513) 831-3353",https://saintmarymagdalene.org/get-to-know-our-campus,clermont_county,Clermont,,,SRC-PARISH-20260807-006,2026-08-07,candidate,"Current campus page distinguishes the church at 551 Main St from the parish office and center at 552 Main St."
aa59300e-62d1-40cb-a4bf-a14b6390c547,"St. Elizabeth Ann Seton Church","St. Elizabeth Ann Seton Parish","St. Mary Magdalene Family of Parishes",church,active,"5890 Buckwheat Rd",Milford,OH,45150,,,"(513) 575-0119",https://saintmarymagdalene.org/,clermont_county,Clermont,,,SRC-PARISH-20260807-007,2026-08-07,candidate,"Current family history identifies the parish with Milford-area Clermont County and Miami Township."
7a3ccf09-51ae-485b-8992-46a695f8f8d2,"St. Columban Catholic Church","St. Columban Parish","",church,active,"894 Oakland Rd",Loveland,OH,45140,,,"(513) 683-0105",https://stcolumban.org/about,clermont_county,Clermont,,,SRC-PARISH-20260807-008,2026-08-07,needs_resolution,"Clermont County location is corroborated; the family name and CC-07/CES-23 coverage interpretation remain unresolved."
aafc18cf-ff38-4383-a9a9-55e5a074bab7,"St. Louis Church","Holy Family Parish","Holy Family",church,active,"210 N Broadway St",Owensville,OH,45160,,,"(513) 732-2218",https://holyfamilyparishrcc.org/,clermont_county,Clermont,,,SRC-PARISH-20260807-010,2026-08-07,candidate,"Physical church retained after the four former parishes merged into Holy Family Parish."
51d3fd55-d2e8-4c58-bcfc-596f67f9d1ba,"St. Ann Church","Holy Family Parish","Holy Family",church,active,"370 S 5th St",Williamsburg,OH,45176,,,"(513) 732-2218",https://holyfamilyparishrcc.org/,clermont_county,Clermont,,,SRC-PARISH-20260807-011,2026-08-07,candidate,"Physical church retained after the four former parishes merged into Holy Family Parish."
65203fef-1e38-446e-85be-f9afea342422,"St. Mary Church","St. Mary Parish","Stella Maris",church,active,"3398 State Route 125",Bethel,OH,45106,,,"(513) 734-4041",https://stellamarisfamily.org/contact-us/,clermont_county,Clermont,,,SRC-PARISH-20260807-012,2026-08-07,needs_resolution,"Tate Township coverage relationship remains unverified."
8c38b8c5-35a5-43d2-a9ea-09f933161950,"St. Peter Church","St. Peter Parish","Stella Maris",church,active,"1192 Bethel-New Richmond Rd",New Richmond,OH,45157,,,"(513) 553-3267",https://stellamarisfamily.org/contact-us/,clermont_county,Clermont,,,SRC-PARISH-20260807-013,2026-08-07,candidate,"Current family contact page confirms the physical destination."
cb2d26d0-f6b5-44c1-b6e0-33b950fdce2d,"Immaculate Heart of Mary Church","Immaculate Heart of Mary Parish","St. Gregory the Great Family of Parishes",church,active,"7820 Beechmont Ave",Cincinnati,OH,45255,,,"(513) 388-4466",https://www.church.ihom.org/apps/pages/index.jsp?pREC_ID=1047866&type=d&uREC_ID=537490,cincinnati_east_side,,,,SRC-PARISH-20260807-014,2026-08-07,candidate,"Current parish history distinguishes the church at 7820 from the welcome center and school addresses."
